setting,L0,z0,z1,As,hr0,k,Ts,Tlab,Da,composition,T0,T1,P0,rho0,critical_depth,critical_pressure,critical_temperature,plag_out_pressure,plag_out_temperature,plag_out_depth,max_densification_rate,qs0,qs1
cold-1,98000.0,30000.0,80000.0,1.5e-06,9000.0,3.0,283.15,1603.15,0.3,hacker_2015_bin_3,713.8891081401503,876.7959027834722,8181.540000000001,3119.792097361102,85000.0,30000.0,769.6550473153219,21817.44,769.6550473153219,80000.0,312.58453253230726,0.0526683904870714,0.04784700048253054
cold-1,98000.0,30000.0,80000.0,1.5e-06,9000.0,3.0,283.15,1603.15,0.3,sammon_2021_lower_crust,713.8891081401503,876.7959027834722,8181.540000000001,3258.187674545467,80000.0,21817.44,769.6550473153219,21817.44,769.6550473153219,80000.0,197.7068529889647,0.0526683904870714,0.04784700048253054
cold-1,98000.0,30000.0,80000.0,1.5e-06,9000.0,3.0,283.15,1603.15,0.3,sammon_2021_deep_crust,713.8891081401503,876.7959027834722,8181.540000000001,3150.637920375184,85000.0,30000.0,769.6550473153219,21817.44,769.6550473153219,80000.0,232.8752299586625,0.0526683904870714,0.04784700048253054
cold-1,98000.0,30000.0,80000.0,1.5e-06,9000.0,3.0,283.15,1603.15,0.3,hacker_2015_bin_2,713.8891081401503,876.7959027834722,8181.540000000001,3253.8168399760116,80000.0,21817.44,769.6550473153219,21817.44,769.6550473153219,80000.0,283.0656727872942,0.0526683904870714,0.04784700048253054
cold-1,98000.0,30000.0,80000.0,1.5e-06,9000.0,3.0,283.15,1603.15,0.3,hacker_2015_md_xenolith,713.8891081401503,876.7959027834722,8181.540000000001,3298.9327104786503,80000.0,21817.44,769.6550473153219,21817.44,769.6550473153219,80000.0,216.49320049979377,0.0526683904870714,0.04784700048253054
cold-1,98000.0,30000.0,80000.0,1.5e-06,9000.0,3.0,283.15,1603.15,0.3,hacker_2015_bin_1,713.8891081401503,876.7959027834722,8181.540000000001,3355.2084004965977,80000.0,21817.44,769.6550473153219,21817.44,769.6550473153219,80000.0,260.471103424538,0.0526683904870714,0.04784700048253054
cold-1,98000.0,30000.0,80000.0,1.5e-06,9000.0,3.0,283.15,1603.15,0.3,mackwell_1998_maryland_diabase,713.8891081401503,876.7959027834722,8181.540000000001,3352.1643639964245,80000.0,21817.44,769.6550473153219,21817.44,769.6550473153219,80000.0,171.26713705788723,0.0526683904870714,0.04784700048253054
cold-2,110000.0,30000.0,80000.0,1.5e-06,8500.0,3.0,283.15,1603.15,0.001,hacker_2015_bin_4,668.3634878930171,822.445913905899,8181.540000000001,3026.5865334563896,85000.0,30000.0,769.6550473153219,nan,nan,nan,1.4668458255992816,0.04776477508913678,0.04487273357103139
cold-2,110000.0,30000.0,80000.0,1.5e-06,8500.0,3.0,283.15,1603.15,0.001,hacker_2015_bin_3,668.3634878930171,822.445913905899,8181.540000000001,3135.53874043427,85000.0,30000.0,769.6550473153219,nan,nan,nan,1.4094604100371124,0.04776477508913678,0.04487273357103139
cold-2,110000.0,30000.0,80000.0,1.5e-06,8500.0,3.0,283.15,1603.15,0.001,sammon_2021_lower_crust,668.3634878930171,822.445913905899,8181.540000000001,3269.382886010014,85000.0,30000.0,769.6550473153219,nan,nan,nan,0.9816943588952961,0.04776477508913678,0.04487273357103139
cold-2,110000.0,30000.0,80000.0,1.5e-06,8500.0,3.0,283.15,1603.15,0.001,sammon_2021_deep_crust,668.3634878930171,822.445913905899,8181.540000000001,3162.6079252915524,85000.0,30000.0,769.6550473153219,nan,nan,nan,1.098498745518298,0.04776477508913678,0.04487273357103139
cold-2,110000.0,30000.0,80000.0,1.5e-06,8500.0,3.0,283.15,1603.15,0.001,hacker_2015_bin_2,668.3634878930171,822.445913905899,8181.540000000001,3268.4298944990596,85000.0,30000.0,769.6550473153219,nan,nan,nan,1.2944252819614033,0.04776477508913678,0.04487273357103139
